3,-65.62177085,-54.1368942,72.34355925,3,,1
7,-0.8247948,-8.91114425,103.4844589,7,,2
14,-20.50006865,-95.605175,70.8128891,14,,3
15,21.82128145,-94.6479225,70.4512558,15,,4
16,-33.8045483,-58.79512785,94.37873075,16,,5
17,33.6694908,-59.34675215,93.5303574,17,,6
18,-36.147131,0.3292847,91.64673615,18,,7
19,36.202919,0.2255478,91.16784665,19,,8
25,56.82643125,-93.13791655,40.2781906,25,,9
8,-0.08628085,55.669899,74.5982666,8,,10
9,0.0987091,90.6008911,9.7283249,9,,11
20,-29.31555745,45.84410095,72.3737259,20,,12
21,29.18288805,46.444725,72.73280335,21,,13
22,-36.32239725,81.68989565,9.4649887,22,,14
23,36.759079,82.0669937,9.0458527,23,,15
33,75.7016678,15.23571015,41.43776705,33,,16
34,-58.0335197,46.9692688,42.00050735,34,,17
35,59.0969391,47.61595915,42.1969185,35,,18
4,64.86107635,-53.8068161,71.707222,4,,19
27,72.9509201,-71.9410782,-64.40079115,27,,20
29,76.15119935,-74.74752045,6.27479555,29,,21
31,69.153244,-24.3318329,71.8781738,31,,22
37,86.08831025,-36.6942749,-66.3954506,37,,23
39,87.7593689,-42.99897005,6.7870674,39,,24
41,87.6665344,-8.90974425,8.37681965,41,,25
43,84.2204056,-3.6156807,-65.636528,43,,26
45,80.07733155,24.73057555,-49.8325577,45,,27
1,-58.69734575,-99.03343205,-30.7374001,1,,28
2,58.2980423,-98.9678383,-30.2239914,2,,29
5,-1.63489535,-119.927124,-64.53933335,5,,30
6,0.5986061,-123.5566254,4.5086899,6,,31
10,-38.11175155,-110.4857254,-62.84088515,10,,32
11,37.99288175,-110.5601349,-63.1149025,11,,33
12,-30.72513965,-118.8717346,5.46195605,12,,34
13,31.40852735,-117.5055695,4.50251005,13,,35
24,-57.99204635,-93.58271025,40.91336445,24,,36
26,-73.19708255,-71.57955935,-64.93815615,26,,37
28,-77.65802,-75.6083717,6.2861328,28,,38
30,-69.27053835,-23.31933975,71.3546982,30,,39
32,-74.80472185,16.2051773,41.4942055,32,,40
36,-86.12891005,-35.990757,-64.69361115,36,,41
38,-88.6745033,-43.01647185,7.3537903,38,,42
40,-86.6618462,-8.5936241,7.3139038,40,,43
42,-84.94329455,-4.48735045,-64.99983405,42,,44
44,-80.7804413,22.79722595,-49.4444618,44,,45
